"country_code","city_name","geonameid"
"AR","Joaquin V. Gonzalez","3853491"
"AR","Cafayate","3863503"
"AR","Las Lajitas","3848209"
"AR","Campo Quijano","3863050"
"AR","Salta","3838233"
"AR","Chicoana","3861494"
"AR","San Antonio de los Cobres","3837985"
"AR","El Carril","3858553"
"AR","San Ramon de la Nueva Oran","3836620"
"AR","El Galpon","3857974"
"AR","Tartagal","3834601"
"AR","El Quebrachal","3857012"
"AR","Apolinario Saravia","3865605"
"AR","Embarcacion","3856231"
"AR","Caucete","3862240"
"AR","Zonda","3832080"
"AR","Chimbas","3861416"
"AR","Nueve de Julio","3842882"
"AR","Pocito","3840860"
"AR","San Agustin de Valle Fertil","3838158"
"AR","San Jose de Jachal","3837240"
"AR","Albardon","3866425"
"AR","San Juan","3837213"
"AR","Calingasta","3863362"
"AR","San Martin","3836993"
"AR","Naschel","3843407"
"AR","Buena Esperanza","3863814"
"AR","San Luis","3837056"
"AR","Candelaria","3862832"
"AR","Santa Rosa del Conlara","3835941"
"AR","Concaran","3860431"
"AR","Tilisarao","3834397"
"AR","Justo Daract","3853330"
"AR","Union","3833424"
"AR","La Punta","7284819"
"AR","Villa Mercedes","7116866"
"AR","La Toma","3847482"
"AR","Merlo","3844377"
"AR","El Calafate","3858677"
"AR","Yacimiento Rio Turbio","3832376"
"AR","Las Heras","3848353"
"AR","Los Antiguos","3846484"
"AR","Pico Truncado","3841309"
"AR","Puerto Deseado","3840104"
"AR","Puerto Santa Cruz","3840076"
"AR","Caleta Olivia","3863379"
"AR","Rio Gallegos","3838859"
"AR","Comandante Luis Piedra Buena","3860466"
"AR","San Julian","3840082"
"AR","Carcarana","3862655"
"AR","Galvez","3855244"
"AR","Perez","3841500"
"AR","San Cristobal","3837823"
"AR","Tostado","3834048"
"AR","Armstrong","3865449"
"AR","Casilda","3862351"
"AR","Granadero Baigorria","3854895"
"AR","Rafaela","3839479"
"AR","San Javier","3428975"
"AR","Totoras","3833995"
"AR","Arroyo Seco","3865385"
"AR","Ceres","3862100"
"AR","Hersilia","3854318"
"AR","Reconquista","3429594"
"AR","San Jorge","3837441"
"AR","Venado Tuerto","3833062"
"AR","Arrufo","3865375"
"AR","Coronda","3860217"
"AR","Laguna Paiva","3850920"
"AR","Recreo","3839262"
"AR","San Justo","3837124"
"AR","Vera","3833027"
"AR","Avellaneda","3436230"
"AR","El Trebol","3856436"
"AR","Las Parejas","3847933"
"AR","Roldan","3838638"
"AR","Santa Fe de la Vera Cruz","3836277"
"AR","Villa Canas","3832793"
"AR","Bella Italia","6942842"
"AR","Esperanza","3856022"
"AR","Las Rosas","3847836"
"AR","Rosario","3838583"
"AR","Santo Tome","3835793"
"AR","Villa Constitucion","3832778"
"AR","Calchaqui","3863419"
"AR","Firmat","3855554"
"AR","Las Toscas","3431606"
"AR","Rufino","3838506"
"AR","Sastre","3835695"
"AR","Villa Ocampo","3427388"
"AR","Canada de Gomez","3862981"
"AR","Funes","3855302"
"AR","Malabrigo","3430940"
"AR","San Carlos Centro","3837857"
"AR","Sunchales","3834971"
"AR","Villa Trinidad","3832608"
"AR","Anatuya","3865840"
"AR","San Pedro","3836771"
"AR","Beltran","3864328"
"AR","Santiago del Estero","3835869"
"AR","Campo Gallo","3863136"
"AR","Suncho Corral","3834961"
"AR","Clodomira","3861002"
"AR","Termas de Rio Hondo","3834502"
"AR","El Hoyo","3857887"
"AR","Tintina","3834352"
"AR","Los Juries","3846080"
"AR","Villa Atamisqui","3832805"
"AR","Pampa de los Guanacos","3842140"
"AR","Villa Ojo de Agua","3832658"
"AR","Quimili","3839565"
"AR","Ushuaia","3833367"
"AR","Aguilares","3866496"
"AR","San Miguel de Tucuman","3836873"
"AR","Alderetes","3866367"
"AR","Simoca","3835238"
"AR","Bella Vista","3864375"
"AR","Tafi Viejo","3834813"
"AR","Burruyacu","3863701"
"AR","Tafi del Valle","3834814"
"AR","Famailla","3855666"
"AR","Trancas","3833947"
"AR","Graneros","3854724"
"AR","Yerba Buena","3832260"
"AR","La Cocha","3851985"
"AR","Monteros","3843803"
"AS","Fagatogo","5881241"
"AS","Pago Pago","5881576"
"AS","Tafuna","5881192"
"AT","Breitenbrunn","2781472"
"AT","Eisenstadt","2780190"
"AT","Hackerberg","2777111"
